,instrument,alpha,key,text,label_raw,label_ocean
433,BFAS-20,0.88,-1,Leave a mess in your room,Conscientiousness,C
434,BFAS-20,0.88,-1,Leave your belongings around,Conscientiousness,C
435,BFAS-20,0.88,1,Like to tidy up,Conscientiousness,C
436,BFAS-20,0.88,1,Love children,Agreeableness,A
437,BFAS-20,0.88,1,Love order and regularity,Conscientiousness,C
438,BFAS-20,0.88,1,Love to help others,Agreeableness,A
439,BFAS-20,0.9,1,Love to read challenging material,Intellect,O
440,BFAS-20,0.9,1,Love to think up new ways of doing things,Intellect,O
441,BFAS-20,0.88,-1,Make a mess of things,Conscientiousness,C
442,BFAS-20,0.88,1,Make plans and stick to them,Conscientiousness,C
443,BFAS-20,0.91,-1,Often feel uncomfortable around others,Extraversion,E
444,BFAS-20,0.88,-1,Shirk your duties,Conscientiousness,C
445,BFAS-20,0.88,1,Show your gratitude,Agreeableness,A
446,BFAS-20,0.9,1,Spend time reflecting on things,Intellect,O
447,BFAS-20,0.91,1,Start conversations,Extraversion,E
448,BFAS-20,0.88,1,Take time out for others,Agreeableness,A
449,BFAS-20,0.88,1,Think of others first,Agreeableness,A
450,BFAS-20,0.91,-1,Wait for others to lead the way,Extraversion,E
451,BFAS-20,0.88,-1,Waste your time,Conscientiousness,C
452,BIS_BAS,1994,1,Are always worried about something,Anxiety,N
453,BIS_BAS,0.68,1,Are eager to soothe hurt feelings,Excitement-seeking,E
454,BIS_BAS,1994,1,Begin to panic when there is danger,Anxiety,N
455,BIS_BAS,0.68,-1,Don't get excited about things,Excitement-seeking,E
456,BIS_BAS,0.68,1,Feel excited or happy for no apparent reason,Excitement-seeking,E
457,BIS_BAS,0.68,1,Get caught up in the excitement when others are celebrating,Excitement-seeking,E
458,BIS_BAS,0.68,1,Get so happy or energetic that you are almost giddy,Excitement-seeking,E
459,BIS_BAS,1994,1,Get stressed out easily,Anxiety,N
460,BIS_BAS,1994,1,Often worry about things that turn out to be unimportant,Anxiety,N
461,BIS_BAS,0.68,-1,Rarely get caught up in the excitement,Excitement-seeking,E
462,BIS_BAS,1994,-1,Rarely worry,Anxiety,N
463,BIS_BAS,1994,1,Worry about what people think of me,Anxiety,N
464,Buss1980,0.81,1,Are constantly reflecting about yourself,Introspection/Private Self-Consciousness,N
465,Buss1980,0.81,-1,Don't try to figure yourself out,Introspection/Private Self-Consciousness,N
466,Buss1980,0.81,1,Examine your motives constantly,Introspection/Private Self-Consciousness,N
467,Buss1980,0.81,1,Like to get lost in thought,Introspection/Private Self-Consciousness,N
468,Buss1980,0.81,1,Look for hidden meaning in things,Introspection/Private Self-Consciousness,N
469,Buss1980,0.81,-1,Rarely look for a deeper meaning in things,Introspection/Private Self-Consciousness,N
470,Buss1980,0.81,-1,Seldom daydream,Introspection/Private Self-Consciousness,N
471,Buss1980,0.81,-1,Seldom get lost in thought,Introspection/Private Self-Consciousness,N
472,Buss1980,0.81,1,Try to examine yourself objectively,Introspection/Private Self-Consciousness,N
473,CAT-PD,"0.83,0.85",1,Are easily startled,Anxiety,N
474,CAT-PD,"0.83,0.85",1,Are generally a fearful person,Anxiety,N
475,CAT-PD,"0.83,0.85",1,Are nervous or tense most of the time,Anxiety,N
476,CAT-PD,"0.88,0.88",1,Are sad most of the time,Depression,N
477,CAT-PD,"0.88,0.88",1,Dislike yourself,Depression,N
478,CAT-PD,"0.83,0.85",-1,Don't let little things anger me,Anger,N
479,CAT-PD,"0.83,0.85",1,Feel your anxiety overwhelms me,Anxiety,N
480,CAT-PD,"0.83,0.85",1,Feel that your worry and anxiety is out of control,Anxiety,N
481,CAT-PD,"0.88,0.88",1,Generally focus on the negative side of things,Depression,N
482,CAT-PD,"0.83,0.85",1,Get irritated easily,Anger,N
483,CAT-PD,"0.83,0.85",1,Have a violent temper,Anger,N
484,CAT-PD,"0.88,0.88",-1,Look at the bright side of life,Depression,N
485,CAT-PD,"0.83,0.85",1,Often feel overwhelmed with rage,Anger,N
486,CAT-PD,"0.83,0.85",1,Panic easily,Anxiety,N
487,CAT-PD,"0.88,0.88",-1,Rarely feel depressed,Depression,N
488,CAT-PD,"0.88,0.88",1,Tend to feel very hopeless,Depression,N
489,CPI,0.73,-1,Act without planning,Dutifulness,C
490,CPI,0.75,1,Are exacting in your work,Self-discipline,C
491,CPI,0.85,-1,Are not interested in theoretical discussions,Intellect,O
492,CPI,0.71,1,Are open to change,Adventurousness,O
493,CPI,0.82,1,Are quick to correct others,Assertiveness,E
494,CPI,0.81,1,Are quick to understand things,Self-efficacy,C
495,CPI,0.71,-1,Are the last to laugh at a joke,Adventurousness,O
496,CPI,0.71,1,Areuse your friends,Adventurousness,O
497,CPI,0.75,-1,Avoid responsibilities,Self-discipline,C
498,CPI,0.85,1,Believe in the importance of art,Liberalism,O
499,CPI,0.85,-1,Believe laws should be strictly enforced,Liberalism,O
500,CPI,0.71,1,Believe that you are important,Adventurousness,O
501,CPI,0.85,-1,Believe that too much tax money goes to support artists,Liberalism,O
502,CPI,0.85,-1,Believe that we coddle criminals too much,Liberalism,O
503,CPI,0.85,-1,Believe that we should be tough on crime,Liberalism,O
504,CPI,0.81,1,Can handle complex problems,Self-efficacy,C
505,CPI,0.82,1,Challenge others' points of view,Assertiveness,E
506,CPI,0.82,1,Demand explanations from others,Assertiveness,E
507,CPI,0.75,-1,Disregard rules,Self-discipline,C
508,CPI,0.75,-1,Do improper things,Self-discipline,C
509,CPI,0.81,-1,Do not have a good imagination,Self-efficacy,C
510,CPI,0.85,-1,Do not like art,Liberalism,O
511,CPI,0.73,1,Do things according to a plan,Dutifulness,C
512,CPI,0.73,1,Do things by the book,Dutifulness,C
513,CPI,0.85,1,Enjoy contemplation,Intellect,O
514,CPI,0.85,1,Enjoy thought-provoking movies,Intellect,O
515,CPI,0.75,-1,Find it difficult to get down to work,Self-discipline,C
516,CPI,0.85,1,Find political discussions interesting,Intellect,O
517,CPI,0.81,1,Formulate ideas clearly,Self-efficacy,C
518,CPI,0.75,1,Get chores done right away,Self-discipline,C
519,CPI,0.75,1,Get to work at once,Self-discipline,C
520,CPI,0.75,1,Go straight for the goal,Self-discipline,C
521,CPI,0.71,-1,Hate surprises,Adventurousness,O
522,CPI,0.82,-1,Hate to seem pushy,Assertiveness,E
523,CPI,0.71,1,Have a lot of fun,Adventurousness,O
524,CPI,0.81,1,Have excellent ideas,Self-efficacy,C
525,CPI,0.82,1,Impose your will on others,Assertiveness,E
526,CPI,0.82,1,Lay down the law to others,Assertiveness,E
527,CPI,0.81,-1,Let yourself be directed by others,Self-efficacy,C
528,CPI,0.71,1,Let yourself go,Adventurousness,O
529,CPI,0.81,-1,Let others determine your choices,Self-efficacy,C
530,CPI,0.75,1,Like to organize things,Self-discipline,C
531,CPI,0.85,-1,Like to stand during the national anthem,Liberalism,O
532,CPI,0.73,1,Make plans and stick to them,Dutifulness,C
533,CPI,0.81,-1,Never challenge things,Self-efficacy,C
534,CPI,0.73,-1,Overuse your credit,Dutifulness,C
535,CPI,0.85,-1,Prefer to stick with things that you know,Intellect,O
536,CPI,0.82,1,Put people under pressure,Assertiveness,E
537,CPI,0.71,-1,Seldom joke around,Adventurousness,O
538,CPI,0.73,-1,Spend more money than you have,Dutifulness,C
539,CPI,0.85,-1,Tend to vote for conservative political candidates,Liberalism,O
540,CPI,0.85,1,Tend to vote for liberal political candidates,Liberalism,O
541,CPI,0.81,1,Think quickly,Self-efficacy,C
542,CPI,0.71,1,Try out new things,Adventurousness,O
543,CPI,0.82,1,Try to outdo others,Assertiveness,E
544,CPI,0.82,1,Try to surpass others' accomplishments,Assertiveness,E
545,CPI,0.81,-1,Undertake few things on your own,Self-efficacy,C
546,CPI,0.82,1,Want to control the conversation,Assertiveness,E
547,CPI,0.75,-1,Waste your time,Self-discipline,C
548,CPI,0.73,1,Would never cheat on your taxes,Dutifulness,C
549,HEXACO_PI,0.81,1,Are just an ordinary person,Modesty/Humility,A
550,HEXACO_PI,0.81,-1,Are likely to show off if you get the chance,Modesty/Humility,A
551,HEXACO_PI,0.81,-1,Are more capable than most others,Modesty/Humility,A
552,HEXACO_PI,0.85,-1,Are not easily disturbed by events,Anxiety,N
553,HEXACO_PI,0.81,-1,Believe that you are better than others,Modesty/Humility,A
554,HEXACO_PI,0.81,-1,Boast about your virtues,Modesty/Humility,A
555,HEXACO_PI,0.81,1,Consider yourself an average person,Modesty/Humility,A
556,HEXACO_PI,0.81,1,Don't think that you are better than other people,Modesty/Humility,A
557,HEXACO_PI,0.85,1,Get upset by unpleasant thoughts that come into your mind,Anxiety,N
558,HEXACO_PI,0.81,-1,Like to attract attention,Modesty/Humility,A
559,HEXACO_PI,0.85,-1,Remain calm under pressure,Anxiety,N
560,HEXACO_PI,0.81,1,See yourself as an average person,Modesty/Humility,A
561,HEXACO_PI,0.81,-1,Would like to have more power than other people,Modesty/Humility,A
562,HPI,0.76,-1,Act wild and crazy,Cooperation,A
563,HPI,0.86,1,Are interested in people,Friendliness,E
564,HPI,0.86,-1,Are not really interested in others,Friendliness,E
565,HPI,0.76,-1,Break rules,Cooperation,A
566,HPI,0.86,1,Cheer people up,Friendliness,E
567,HPI,0.86,-1,Dislike being the center of attention,Gregariousness,E
568,HPI,0.78,-1,Do crazy things,Dutifulness,C
569,HPI,0.78,-1,Do things that others find strange,Dutifulness,C
570,HPI,0.78,-1,Do unexpected things,Dutifulness,C
571,HPI,0.86,1,Don't mind being the center of attention,Gregariousness,E
572,HPI,0.78,-1,Enjoy being reckless,Dutifulness,C
573,HPI,0.76,-1,Enjoy wild flights of fantasy,Cooperation,A
574,HPI,0.86,1,Feel at ease with people,Friendliness,E
575,HPI,0.76,-1,Feel that people have a hard time understanding me,Cooperation,A
576,HPI,0.86,-1,Have little to say,Gregariousness,E
577,HPI,0.86,1,Know how to captivate people,Gregariousness,E
578,HPI,0.76,-1,Look for hidden meanings in things,Cooperation,A
579,HPI,0.76,-1,Oppose authority,Cooperation,A
580,HPI,0.76,1,Rarely overindulge,Cooperation,A
581,HPI,0.76,-1,Resist authority,Cooperation,A
582,HPI,0.76,-1,Suspect hidden motives in others,Cooperation,A
583,HPI,0.76,-1,Swim against the current,Cooperation,A
584,HPI,0.86,-1,Want to be left alone,Friendliness,E
585,HPI,0.86,-1,Would describe your experiences as somewhat dull,Gregariousness,E
586,HPI-HIC,0.7,1,Accept challenging tasks,Achievement-striving,C
587,HPI-HIC,0.7,1,Are always prepared,Self-discipline,C
588,HPI-HIC,0.61,-1,Are easily talked into doing silly things,Orderliness,C
589,HPI-HIC,0.7,1,Are good at many things,Achievement-striving,C
590,HPI-HIC,0.7,-1,Are not highly motivated to succeed,Achievement-striving,C
591,HPI-HIC,0.68,-1,Avoid crowds,Gregariousness,E
592,HPI-HIC,0.74,1,Believe in human goodness,Trust,A
593,HPI-HIC,0.74,-1,Believe that people are essentially evil,Trust,A
594,HPI-HIC,0.74,-1,Distrust people,Trust,A
595,HPI-HIC,0.61,-1,Do unexpected things,Orderliness,C
596,HPI-HIC,0.7,1,Do unpleasant tasks immediately,Self-discipline,C
597,HPI-HIC,0.68,-1,Don't like to get dressed up,Gregariousness,E
598,HPI-HIC,0.78,1,Enjoy examining yourself and your life,Introspection/Private Self-Consciousness,N
599,HPI-HIC,0.61,-1,Enjoy wild flights of fantasy,Orderliness,C
600,HPI-HIC,0.64,-1,Feel that people have a hard time understanding me,Dutifulness,C
601,HPI-HIC,0.7,1,Feel up to any task,Achievement-striving,C
602,HPI-HIC,0.64,-1,Have days when you are mad at the world,Dutifulness,C
603,HPI-HIC,0.61,-1,Like variety,Orderliness,C
604,HPI-HIC,0.78,1,Look for hidden meanings in things,Introspection/Private Self-Consciousness,N
605,HPI-HIC,0.68,1,Love surprise parties,Gregariousness,E
606,HPI-HIC,0.64,-1,Love to come up with objections,Dutifulness,C
607,HPI-HIC,0.7,-1,Put off unpleasant tasks,Self-discipline,C
608,HPI-HIC,0.79,1,Read quickly,Intellect,O
609,HPI-HIC,0.79,-1,Read slowly,Intellect,O
610,HPI-HIC,0.64,-1,Seek danger,Dutifulness,C
611,HPI-HIC,0.74,-1,Suspect hidden motives in others,Trust,A
612,HPI-HIC,0.74,1,Trust others,Trust,A
613,HPI-HIC,0.74,1,Trust what people say,Trust,A
614,HPI-HIC,0.61,-1,Try to do too difficult things,Orderliness,C
615,HPI-HIC,0.78,1,Try to understand yourself,Introspection/Private Self-Consciousness,N
616,HPI-HIC,0.7,-1,Undertake few things on your own,Achievement-striving,C
617,IPIP-IPC,,1,Feel comfortable around people,Gregariousness,E
618,IPIP-IPC,,1,Love large parties,Gregariousness,E
619,IPIP-IPC,,1,Start conversations,Gregariousness,E
620,IPIP-IPC,,1,Talk to a lot of different people at parties,Gregariousness,E
621,JPI,0.81,1,Accomplish a lot of work,Activity-Level,E
622,JPI,0.81,1,Are always busy,Activity-Level,E
623,JPI,0.81,1,Are always on the go,Activity-Level,E
624,JPI,0.81,-1,Are easily discouraged,Activity-Level,E
625,JPI,0.87,-1,Are not easily frustrated,Anxiety,N
626,JPI,0.87,-1,Are relaxed most of the time,Anxiety,N
627,JPI,0.81,1,Can manage many things at the same time,Activity-Level,E
628,JPI,0.81,1,Do a lot in your spare time,Activity-Level,E
629,JPI,0.81,-1,Do too little work,Activity-Level,E
630,JPI,0.87,1,Get upset easily,Anxiety,N
631,JPI,0.81,-1,Hang around doing nothing,Activity-Level,E
632,JPI,0.81,-1,Have a slow pace to your life,Activity-Level,E
633,JPI,0.87,1,Have frequent mood swings,Anxiety,N
634,JPI,0.81,-1,Need a push to get started,Activity-Level,E
635,JPI,0.87,1,Often feel blue,Anxiety,N
636,JPI,0.87,-1,Rarely get irritated,Anxiety,N
637,MPQ,0.85,1,Are good at making impromptu speeches,Assertiveness,E
638,MPQ,0.84,-1,Are not easily bothered by things,Neuroticism,N
639,MPQ,0.84,-1,Are relaxed most of the time,Neuroticism,N
640,MPQ,0.85,-1,Avoid company,Friendliness,E
641,MPQ,0.79,1,Continue until everything is perfect,Achievement-striving,C
642,MPQ,0.79,-1,Do too little work,Achievement-striving,C
643,MPQ,0.85,-1,Don't like to draw attention to yourself,Assertiveness,E
644,MPQ,0.84,-1,Don't worry about things that have already happened,Neuroticism,N
645,MPQ,0.85,1,Enjoy being part of a group,Friendliness,E
646,MPQ,0.85,-1,Find it difficult to manipulate others,Assertiveness,E
647,MPQ,0.84,1,Get stressed out easily,Neuroticism,N
648,MPQ,0.85,1,Have a natural talent for influencing people,Assertiveness,E
649,MPQ,0.79,-1,Have a slow pace to your life,Achievement-striving,C
650,MPQ,0.84,1,Have frequent mood swings,Neuroticism,N
651,MPQ,0.85,-1,Have little to say,Assertiveness,E
652,MPQ,0.85,-1,Keep in the background,Assertiveness,E
653,MPQ,0.85,1,Love to chat,Friendliness,E
654,MPQ,0.78,1,Love to reflect on things,Imagination,O
655,MPQ,0.84,1,Panic easily,Neuroticism,N
656,MPQ,0.78,-1,Rarely look for a deeper meaning in things,Imagination,O
657,MPQ,0.78,1,See beauty in things that others might not notice,Imagination,O
658,MPQ,0.79,1,Work hard,Achievement-striving,C
659,MPQ,0.79,1,Work too much,Achievement-striving,C
660,NEO,0.78,1,Act wild and crazy,Excitement-seeking,E
661,NEO,0.76,-1,Act without thinking,Cautiousness,C
662,NEO,0.83,-1,Adapt easily to new situations,Anxiety,N
663,NEO,0.77,-1,Are able to control your cravings,Immoderation,N
664,NEO,0.82,-1,Are calm even in tense situations,Vulnerability,N
665,NEO,0.77,1,Are concerned about others,Altruism,A
666,NEO,0.73,1,Are easy to satisfy,Cooperation,A
667,NEO,0.77,-1,Are indifferent to the feelings of others,Altruism,A
668,NEO,0.81,-1,Are not easily affected by your emotions,Emotionality,O
669,NEO,0.81,-1,Are not easily amused,Cheerfulness,E
670,NEO,0.75,-1,Are not interested in other people's problems,Sympathy,A
671,NEO,0.88,1,Are often down in the dumps,Depression,N
672,NEO,0.88,1,Are often in a bad mood,Anger,N
673,NEO,0.81,1,Are passionate about causes,Emotionality,O
674,NEO,0.78,1,Are sure of your ground,Self-efficacy,C
675,NEO,0.88,-1,Are very pleased with yourself,Depression,N
676,NEO,0.82,-1,Are wary of others,Trust,A
677,NEO,0.81,1,Areuse your friends,Cheerfulness,E
678,NEO,0.77,1,Anticipate the needs of others,Altruism,A
679,NEO,0.76,1,Avoid mistakes,Cautiousness,C
680,NEO,0.82,1,Become overwhelmed by events,Vulnerability,N
681,NEO,0.75,-1,Believe in an eye for an eye,Sympathy,A
682,NEO,0.86,-1,Believe in one true religion,Liberalism,O
683,NEO,0.86,1,Believe that criminals should receive help rather than punishment,Liberalism,O
684,NEO,0.82,1,Believe that others have good intentions,Trust,A
685,NEO,0.82,1,Believe that people are basically moral,Trust,A
686,NEO,0.82,-1,Believe that people are essentially evil,Trust,A
687,NEO,0.86,1,Believe that there is no absolute right or wrong,Liberalism,O
688,NEO,0.71,-1,Break your promises,Dutifulness,C
689,NEO,0.82,-1,Can handle complex problems,Vulnerability,N
690,NEO,0.82,1,Can't make up your mind,Vulnerability,N
691,NEO,0.73,1,Can't stand confrontations,Cooperation,A
692,NEO,0.75,-1,Can't stand weak people,Sympathy,A
693,NEO,0.85,1,Carry out your plans,Self-discipline,C
694,NEO,0.75,-1,Cheat to get ahead,Morality,A
695,NEO,0.76,1,Choose your words with care,Cautiousness,C
696,NEO,0.78,1,Come up with good solutions,Self-efficacy,C
697,NEO,0.78,1,Complete tasks successfully,Self-efficacy,C
698,NEO,0.73,-1,Contradict others,Cooperation,A
699,NEO,0.78,1,Demand quality,Achievement-striving,C
700,NEO,0.77,1,Dislike being the center of attention,Modesty/Humility,A
701,NEO,0.78,-1,Dislike loud music,Excitement-seeking,E
702,NEO,0.77,-1,Dislike new foods,Adventurousness,O
703,NEO,0.77,1,Dislike talking about yourself,Modesty/Humility,A
704,NEO,0.83,-1,Do not have a good imagination,Imagination,O
705,NEO,0.82,1,Do things according to a plan,Orderliness,C
706,NEO,0.77,1,Do things you later regret,Immoderation,N
707,NEO,0.77,1,Don't know why you do some of the things you do,Immoderation,N
708,NEO,0.77,-1,Don't like the idea of change,Adventurousness,O
709,NEO,0.78,-1,Don't see the consequences of things,Self-efficacy,C
710,NEO,0.81,-1,Don't understand people who get emotional,Emotionality,O
711,NEO,0.78,-1,Don't understand things,Self-efficacy,C
712,NEO,0.77,-1,Easily resist temptations,Immoderation,N
713,NEO,0.79,1,Enjoy being part of a group,Gregariousness,E
714,NEO,0.78,1,Enjoy being part of a loud crowd,Excitement-seeking,E
715,NEO,0.78,1,Enjoy being reckless,Excitement-seeking,E
716,NEO,0.81,1,Enjoy examining yourself and your life,Emotionality,O
717,NEO,0.78,1,Excel in what you do,Self-efficacy,C
718,NEO,0.81,1,Experience your emotions intensely,Emotionality,O
719,NEO,0.81,-1,Experience very few emotional highs and lows,Emotionality,O
720,NEO,0.81,1,Express childlike joy,Cheerfulness,E
721,NEO,0.83,1,Fear for the worst,Anxiety,N
722,NEO,0.88,-1,Feel comfortable with yourself,Depression,N
723,NEO,0.88,1,Feel desperate,Depression,N
724,NEO,0.81,1,Feel others' emotions,Emotionality,O
725,NEO,0.82,1,Feel that you are unable to deal with things,Vulnerability,N
726,NEO,0.88,1,Feel that your life lacks direction,Depression,N
727,NEO,0.73,-1,Get back at others,Cooperation,A
728,NEO,0.83,1,Get caught up in your problems,Anxiety,N
729,NEO,0.71,-1,Get others to do your duties,Dutifulness,C
730,NEO,0.82,1,Get overwhelmed by emotions,Vulnerability,N
731,NEO,0.77,1,Go on binges,Immoderation,N
732,NEO,0.78,1,Go straight for the goal,Achievement-striving,C
733,NEO,0.78,1,Handle tasks smoothly,Self-efficacy,C
734,NEO,0.73,1,Hate to seem pushy,Cooperation,A
735,NEO,0.77,1,Have a good word for everyone,Altruism,A
736,NEO,0.77,-1,Have a high opinion of yourself,Modesty/Humility,A
737,NEO,0.81,1,Have a lot of fun,Cheerfulness,E
738,NEO,0.88,1,Have a low opinion of yourself,Depression,N
739,NEO,0.73,-1,Have a sharp tongue,Cooperation,A
740,NEO,0.83,-1,Have difficulty imagining things,Imagination,O
741,NEO,0.85,-1,Have difficulty starting tasks,Self-discipline,C
742,NEO,0.88,1,Have frequent mood swings,Depression,N
743,NEO,0.78,-1,Have little to contribute,Self-efficacy,C
744,NEO,0.73,-1,Hold a grudge,Cooperation,A
745,NEO,0.83,1,Indulge in your fantasies,Imagination,O
746,NEO,0.73,-1,Insult people,Cooperation,A
747,NEO,0.77,1,Interested in many things,Adventurousness,O
748,NEO,0.79,1,Involve others in what you are doing,Gregariousness,E
749,NEO,0.88,-1,Keep your cool,Anger,N
750,NEO,0.71,1,Keep your promises,Dutifulness,C
751,NEO,0.82,-1,Know how to cope,Vulnerability,N
752,NEO,0.75,-1,Know how to get around the rules,Morality,A
753,NEO,0.78,1,Know how to get things done,Self-efficacy,C
754,NEO,0.77,-1,Know the answers to many questions,Modesty/Humility,A
755,NEO,0.81,1,Laugh aloud,Cheerfulness,E
756,NEO,0.81,1,Laugh your way through life,Cheerfulness,E
757,NEO,0.71,-1,Let things proceed at their own pace,Activity-Level,E
758,NEO,0.71,-1,Like a leisurely lifestyle,Activity-Level,E
759,NEO,0.77,1,Like to begin new things,Adventurousness,O
760,NEO,0.71,-1,Like to take it easy,Activity-Level,E
761,NEO,0.71,-1,Like to take your time,Activity-Level,E
762,NEO,0.71,1,Listen to your conscience,Dutifulness,C
763,NEO,0.81,1,Look at the bright side of life,Cheerfulness,E
764,NEO,0.77,-1,Look down on others,Altruism,A
765,NEO,0.88,1,Lose your temper,Anger,N
766,NEO,0.78,1,Love action,Excitement-seeking,E
767,NEO,0.78,1,Love excitement,Excitement-seeking,E
768,NEO,0.81,1,Love life,Cheerfulness,E
769,NEO,0.82,1,Love order and regularity,Orderliness,C
770,NEO,0.77,1,Love to eat,Immoderation,N
771,NEO,0.77,1,Love to help others,Altruism,A
772,NEO,0.77,-1,Make yourself the center of attention,Modesty/Humility,A
773,NEO,0.77,-1,Make people feel uncomfortable,Altruism,A
774,NEO,0.77,1,Make people feel welcome,Altruism,A
775,NEO,0.76,-1,Make rash decisions,Cautiousness,C
776,NEO,0.78,-1,Misjudge situations,Self-efficacy,C
777,NEO,0.71,-1,Misrepresent the facts,Dutifulness,C
778,NEO,0.85,-1,Need a push to get started,Self-discipline,C
779,NEO,0.77,-1,Never spend more than you can afford,Immoderation,N
780,NEO,0.77,-1,Never splurge,Immoderation,N
781,NEO,0.75,-1,Obstruct others' plans,Morality,A
782,NEO,0.77,1,Often eat too much,Immoderation,N
783,NEO,0.88,1,Often feel blue,Depression,N
784,NEO,0.82,1,Panic easily,Vulnerability,N
785,NEO,0.71,1,Pay your bills on time,Dutifulness,C
786,NEO,0.85,-1,Postpone decisions,Self-discipline,C
787,NEO,0.79,-1,Prefer to be alone,Gregariousness,E
788,NEO,0.77,-1,Prefer to stick with things that you know,Adventurousness,O
789,NEO,0.77,1,Prefer variety to routine,Adventurousness,O
790,NEO,0.75,-1,Pretend to be concerned for others,Morality,A
791,NEO,0.78,-1,Put little time and effort into your work,Achievement-striving,C
792,NEO,0.75,-1,Put people under pressure,Morality,A
793,NEO,0.81,1,Radiate joy,Cheerfulness,E
794,NEO,0.88,-1,Rarely complain,Anger,N
795,NEO,0.81,-1,Rarely notice your emotional reactions,Emotionality,O
796,NEO,0.77,-1,Rarely overindulge,Immoderation,N
797,NEO,0.71,1,React quickly,Activity-Level,E
798,NEO,0.71,-1,React slowly,Activity-Level,E
799,NEO,0.82,-1,Readily overcome setbacks,Vulnerability,N
800,NEO,0.82,-1,Remain calm under pressure,Vulnerability,N
801,NEO,0.76,-1,Rush into things,Cautiousness,C
802,NEO,0.78,1,Seek adventure,Excitement-seeking,E
803,NEO,0.78,1,Seek danger,Excitement-seeking,E
804,NEO,0.79,-1,Seek quiet,Gregariousness,E
805,NEO,0.84,1,Seek to influence others,Assertiveness,E
806,NEO,0.88,-1,Seldom feel blue,Depression,N
807,NEO,0.81,-1,Seldom get emotional,Emotionality,O
808,NEO,0.88,-1,Seldom get mad,Anger,N
809,NEO,0.81,-1,Seldom joke around,Cheerfulness,E
810,NEO,0.77,1,Seldom toot your own horn,Modesty/Humility,A
811,NEO,0.78,1,Set high standards for yourself and others,Achievement-striving,C
812,NEO,0.83,1,Spend time reflecting on things,Imagination,O
813,NEO,0.85,1,Start tasks right away,Self-discipline,C
814,NEO,0.76,1,Stick to your chosen path,Cautiousness,C
815,NEO,0.75,1,Stick to the rules,Morality,A
816,NEO,0.75,1,Suffer from others' sorrows,Sympathy,A
817,NEO,0.75,1,Sympathize with the homeless,Sympathy,A
818,NEO,0.75,-1,Take advantage of others,Morality,A
819,NEO,0.77,-1,Take no time for others,Altruism,A
820,NEO,0.71,1,Tell the truth,Dutifulness,C
821,NEO,0.77,-1,Think highly of yourself,Modesty/Humility,A
822,NEO,0.82,1,Think that all will be well,Trust,A
823,NEO,0.81,1,Try to understand yourself,Emotionality,O
824,NEO,0.77,-1,Turn your back on others,Altruism,A
825,NEO,0.78,1,Turn plans into actions,Achievement-striving,C
826,NEO,0.75,-1,Use flattery to get ahead,Morality,A
827,NEO,0.75,-1,Use others for your own ends,Morality,A
828,NEO,0.75,1,Value cooperation over competition,Sympathy,A
829,NEO,0.82,1,Want everything to be just right,Orderliness,C
830,NEO,0.79,-1,Want to be left alone,Gregariousness,E
831,NEO,0.78,1,Willing to try anything once,Excitement-seeking,E
832,NEO,0.78,-1,Would never go hang gliding or bungee jumping,Excitement-seeking,E
833,NEO,0.73,-1,Yell at people,Cooperation,A
834,NEO5-20,0.85,1,Are easy to satisfy,Agreeableness,A
835,NEO5-20,0.91,-1,Are hard to get to know,Extraversion,E
836,NEO5-20,0.91,-1,Are not easily frustrated,Neuroticism,N
837,NEO5-20,0.89,-1,Are not interested in abstract ideas,Openness To Experience,O
838,NEO5-20,0.89,-1,Are not interested in theoretical discussions,Openness To Experience,O
839,NEO5-20,0.91,1,Are often down in the dumps,Neuroticism,N
840,NEO5-20,0.85,-1,Are out for your own personal gain,Agreeableness,A
841,NEO5-20,0.91,-1,Are very pleased with yourself,Neuroticism,N
842,NEO5-20,0.91,-1,Avoid contacts with others,Extraversion,E
843,NEO5-20,0.89,-1,Avoid philosophical discussions,Openness To Experience,O
844,NEO5-20,0.89,1,Believe in the importance of art,Openness To Experience,O
845,NEO5-20,0.85,-1,Believe that you are better than others,Agreeableness,A
846,NEO5-20,0.85,1,Believe that others have good intentions,Agreeableness,A
847,NEO5-20,0.89,-1,Believe that too much tax money goes to support artists,Openness To Experience,O
848,NEO5-20,0.89,1,Can say things beautifully,Openness To Experience,O
849,NEO5-20,0.9,1,Carry out your plans,Conscientiousness,C
850,NEO5-20,0.89,1,Carry the conversation to a higher level,Openness To Experience,O
851,NEO5-20,0.91,1,Cheer people up,Extraversion,E
852,NEO5-20,0.9,1,Complete tasks successfully,Conscientiousness,C
853,NEO5-20,0.85,-1,Contradict others,Agreeableness,A
854,NEO5-20,0.85,-1,Cut others to pieces,Agreeableness,A
855,NEO5-20,0.91,1,Dislike yourself,Neuroticism,N
856,NEO5-20,0.9,-1,Do just enough work to get by,Conscientiousness,C
857,NEO5-20,0.89,-1,Do not enjoy going to art museums,Openness To Experience,O
858,NEO5-20,0.89,-1,Do not like art,Openness To Experience,O
859,NEO5-20,0.89,-1,Do not like poetry,Openness To Experience,O
860,NEO5-20,0.9,-1,Don't put your mind on the task at hand,Conscientiousness,C
861,NEO5-20,0.9,-1,Don't see things through,Conscientiousness,C
862,NEO5-20,0.89,1,Enjoy hearing new ideas,Openness To Experience,O
863,NEO5-20,0.89,1,Enjoy thinking about things,Openness To Experience,O
